,0
982,BYQ9.DU
983,BYQA.HM
984,BYQA.MU
985,BYQC.MU
986,BYQF.DU
987,BYQI.BE
988,BYQJ.HM
989,BYQK.MU
990,BYQM.DU
991,BYQM.HM
992,BYQM.MU
993,BYQY.BE
994,BZQ
995,C003.DE
996,C003.DU
997,C005.BE
998,C005.DE
999,C005.DU
1000,C005.F
1001,C005.HM
1002,C090.DE
1003,C101.DE
1004,C101.DU
1005,C2BC.DE
1006,C2BC.F
1007,C40.PA
1008,C4D.PA
1009,C4Q.F
1010,C4Q.MU
1011,C50.PA
1012,C540.DE
1013,C540.F
1014,C5Q7.MU
1015,C8HA.MU
1016,C98.BE
1017,C98.F
1018,C98.MU
1019,C9D0.HM
1020,C9DE.DU
1021,C9DE.MU
1022,C9DG.BE
1023,C9DG.DU
1024,C9DG.HM
1025,C9DG.MU
1026,C9DH.BE
1027,C9DH.DU
1028,C9DH.HM
1029,C9DH.MU
1030,C9DL.BE
1031,C9DL.DU
1032,C9DL.F
1033,C9DL.MU
1034,C9DM.BE
1035,C9DM.DU
1036,C9DP.F
1037,C9LC.BE
1038,C9LC.DU
1039,C9LC.F
1040,C9LC.MU
1041,CAB3.DU
1042,CACG
1043,CAHCHA.SW
1044,CALF
1045,CALL-B.TO
1046,CAN.MI
1047,CANAN.MX
1048,CANCDA.SW
1049,CANUKD.SW
1050,CAPE.L
1051,CARS-B.TO
1052,CARS-U.TO
1053,CB1TX.SW
1054,CBBF-EUR.SW
1055,CBBFDS-EUR.SW
1056,CBBFL-EUR.SW
1057,CBBFS-EUR.SW
1058,CBC.BE
1059,CBC.DU
1060,CBC.HM
1061,CBC.MU
1062,CBCHN-USD.SW
1063,CBCHN.SW
1064,CBE3.L
1065,CBEF.MI
1066,CBESP-EUR.SW
1067,CBGOLD.SW
1068,CBITA.SW
1069,CBND.L
1070,CBNKY-JPY.SW
1071,CBNKY.SW
1072,CBSE
1073,CBSEUA-EUR.SW
1074,CBSEUD.SW
1075,CBSEUT.SW
1076,CBTG
1077,CBU0.L
1078,CBU7.L
1079,CBUG.L
1080,CBUS5.MI
1081,CBUSA-USD.SW
1082,CBUSAC.SW
1083,CBUSACN.MX
1084,CBUSAS-USD.SW
1085,CBVS-EUR.SW
1086,CBVS.SW
1087,CBVSD-EUR.SW
1088,CBVSO-EUR.SW
1089,CBVSO.SW
1090,CCNV.DE
1091,CCNV.DU
1092,CCNV.F
1093,CCOR
1094,CCUA.L
1095,CCUSAS.MI
1096,CCUSAS.SW
1097,CCXAE.SW
1098,CCXAS.SW
1099,CD5.PA
1100,CDC
1101,CDISN.MX
1102,CDL
1103,CDZ.TO
1104,CEBG.DE
1105,CEBL.DE
1106,CEBL.HM
1107,CEFS
1108,CEM2.MU
1109,CEMP.AS
1110,CEMTN.MX
1111,CEMU.AS
1112,CES3.BE
1113,CES3.DU
1114,CES3.MU
1115,CES4.MU
1116,CEU1.L
1117,CEU2.MI
1118,CEUG.L
1119,CEW
1120,CEW.TO
1121,CEY
1122,CEZ
1123,CFA
1124,CFA.SI
1125,CFCV
1126,CFE3.DU
1127,CFE3.HM
1128,CFE4.MU
1129,CFE5.BE
1130,CFE5.DU
1131,CFE5.F
1132,CFE5.HM
1133,CFLX.TO
1134,CFN.SI
